name,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
e715.dat,-1.5,0.0746,0.00518,0.00074,-0.0419,0.494,0.4032
hobie.dat,-1.5,0.2917,0.00614,0.00078,-0.1019,0.5041,0.0492
ag45c03.dat,-1.5,-0.0813,0.0063,0.00103,-0.0298,0.582,0.0064
goe692.dat,-1.5,0.4183,0.00674,0.00141,-0.1263,0.5838,0.0709
s4053.dat,-1.5,0.1846,0.00586,0.00081,-0.0727,0.6474,0.0106
fx66h80.dat,-1.5,-0.1128,0.00714,0.00146,0.016,0.4101,0.0069
hq2510.dat,-1.5,0.1877,0.00574,0.00067,-0.0764,0.6753,0.0015
isa961.dat,-1.5,0.4077,0.00851,0.00163,-0.0932,0.1048,0.0732
naca632615.dat,-1.5,0.3616,0.00484,0.00078,-0.1196,0.5844,0.4446
goe506.dat,-1.5,0.2604,0.00866,0.00213,-0.082,0.317,0.0023
fx84w175.dat,-1.5,0.3387,0.00605,0.00124,-0.1053,0.5808,0.1944
dae21.dat,-1.5,0.511,0.00605,0.00122,-0.1339,0.6065,0.0153
b707c.dat,-1.5,,,,,,
usa29.dat,-1.5,0.3014,0.00714,0.00143,-0.0945,0.52,0.0036
ah21-9.dat,-1.5,0.1569,0.00474,0.00049,-0.0786,0.8984,0.0172
clarkz.dat,-1.5,,,,,,
usa45m.dat,-1.5,0.1218,0.00303,-0.00299,-0.0409,0.3672,0.0025
goe55.dat,-1.5,,,,,,
fx78k161.dat,-1.5,0.0745,0.00619,0.00125,-0.0339,0.6293,0.1465
e656.dat,-1.5,0.4432,0.00571,0.00115,-0.1251,0.6217,0.2157
e587.dat,-1.5,0.5268,0.0045,0.00097,-0.159,0.6468,0.5727
m22.dat,-1.5,0.0972,0.02018,0.01719,-0.0218,0.4674,0.0129
mrc-20.dat,-1.5,0.2573,0.0064,0.00123,-0.085,0.6614,0.0261
hq2012.dat,-1.5,0.1164,0.00555,0.00074,-0.0602,0.6403,0.1523
naca64209.dat,-1.5,0.0107,0.00596,0.00108,-0.041,0.7017,0.0215
goe222.dat,-1.5,0.7903,0.00772,0.00209,-0.2144,0.5086,0.0023
goe392.dat,-1.5,,,,,,
giiii.dat,-1.5,-0.0358,0.00576,0.00075,-0.0195,0.7236,0.0178
bacnlf.dat,-1.5,0.0706,0.00335,0.00044,-0.0696,0.8942,0.5464
goe408.dat,-1.5,,,,,,
hor07.dat,-1.5,0.2755,0.00869,0.00208,-0.094,0.1605,0.0338
goe358.dat,-1.5,,,,,,
goe412.dat,-1.5,0.4095,0.00656,0.00119,-0.1201,0.5986,0.0015
e193.dat,-1.5,0.2166,0.00591,0.00072,-0.0781,0.5728,0.0598
goe328.dat,-1.5,,,,,,
hs1606.dat,-1.5,,,,,,
fx78k140.dat,-1.5,0.1876,0.00597,0.00104,-0.0586,0.656,0.0807
naca663418.dat,-1.5,0.1792,0.00412,0.00095,-0.0798,0.6989,0.6659
goe431.dat,-1.5,0.715,0.00762,0.00177,-0.2045,0.4086,0.0066
ag35.dat,-1.5,0.2545,0.00535,0.00064,-0.0463,0.4764,0.3612
sd8020.dat,-1.5,-0.1603,0.00496,0.00064,-0.0019,0.656,0.3335
goe490.dat,-1.5,0.2392,0.0063,0.0009,-0.0799,0.564,0.005
fx75vg166.dat,-1.5,0.1344,0.00425,0.00096,-0.0594,0.6788,0.6123
eh1070.dat,-1.5,-0.1189,0.00587,0.00064,-0.0004,0.6038,0.0524
e184.dat,-1.5,-0.1994,0.00637,0.00092,0.0233,0.5973,0.0112
isa960.dat,-1.5,0.4181,0.00916,0.00241,-0.0955,0.0916,0.0746
e908.dat,-1.5,0.3231,0.00358,0.00044,-0.1312,0.8847,0.4386
giiil.dat,-1.5,-0.0258,0.00605,0.00099,-0.0188,0.6617,0.0237
goe425.dat,-1.5,0.2984,0.00728,0.00143,-0.084,0.4752,0.0014
fx73170a.dat,-1.5,0.4685,0.0063,0.00129,-0.1291,0.6083,0.0806
goe498.dat,-1.5,0.5276,0.0068,0.00139,-0.1486,0.5004,0.0807
goe567.dat,-1.5,0.4864,0.00681,0.00129,-0.1483,0.5238,0.0023
n2415.dat,-1.5,0.0799,0.00599,0.00107,-0.0521,0.5494,0.2567
s8052.dat,-1.5,0.0058,0.00507,0.00072,-0.0301,0.6489,0.2894
e434.dat,-1.5,0.3526,0.00597,0.00097,-0.1021,0.631,0.0485
goe366.dat,-1.5,0.655,0.00769,0.00216,-0.1577,0.4597,0.0149
goe598.dat,-1.5,-0.0542,0.0057,0.00063,-0.0259,0.7378,0.0042
ht23.dat,-1.5,-0.0879,0.00625,0.00077,-0.0083,0.4675,0.062
naca2408.dat,-1.5,0.0745,0.00521,0.00056,-0.053,0.717,0.113
ames03.dat,-1.5,,,,,,
fx74cl6140.dat,-1.5,0.6475,0.00736,0.00186,-0.1527,0.4288,0.0111
c141b.dat,-1.5,0.0295,0.00449,0.00078,-0.0479,0.827,0.363
geminism.dat,-1.5,0.0571,0.00562,0.00095,-0.0431,0.5595,0.3442
e64.dat,-1.5,0.3309,0.00484,0.00047,-0.1176,0.7407,0.1124
ht22.dat,-1.5,-0.0816,0.006,0.00072,-0.0105,0.5518,0.0275
miley.dat,-1.5,0.1628,0.00772,0.00244,-0.0309,0.5035,0.0041
mh61.dat,-1.5,-0.142,0.00557,0.00071,0.0094,0.6018,0.1837
nlf414f.dat,-1.5,0.1535,0.00589,0.00187,-0.0706,0.7612,0.243
goe561.dat,-1.5,0.434,0.0106,0.00472,-0.0608,0.4193,0.0213
